periodo,metrica_id,dimension,agregacion,valor,unidad,var_pct_interanual,fuente_doc,pagina,extraido_el
2025-01,aprovisionamiento_gn,Argelia,acumulado_anual,10119.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Argelia,mes,10119.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Argelia,tam,107028.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Biometano nacional,acumulado_anual,27.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Biometano nacional,mes,27.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Biometano nacional,tam,173.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Francia,acumulado_anual,711.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Francia,mes,711.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Francia,tam,15196.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Portugal,acumulado_anual,691.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Portugal,mes,691.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Portugal,tam,12420.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Yacimientos nacionales,acumulado_anual,113.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Yacimientos nacionales,mes,113.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gn,Yacimientos nacionales,tam,333.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Angola,acumulado_anual,1025.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Angola,mes,1025.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Angola,tam,3079.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Argelia,acumulado_anual,,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Argelia,mes,,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Argelia,tam,24324.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Bélgica,acumulado_anual,0.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Bélgica,mes,0.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Bélgica,tam,2128.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Camerún,acumulado_anual,979.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Camerún,mes,979.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Camerún,tam,979.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Congo,acumulado_anual,0.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Congo,mes,0.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Congo,tam,3365.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Estados Unidos,acumulado_anual,10454.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Estados Unidos,mes,10454.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Estados Unidos,tam,57442.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Francia,acumulado_anual,0.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Francia,mes,0.0,GWh,,boletin,9,2026-08-07
2025-01,aprovisionamiento_gnl,Francia,tam,1093.0,GWh,,boletin,9,2026-08-07
